scheme_id,scheme_name,duration,nav,change,date
15718,HDFC Short Term Debt FundShort Duration,9 yrs 2 m,₹32.92,0.14%,2025-05-16
16412,Invesco India ELSS Tax Saver FundELSS,4 yrs 3 m,₹145.41,0.57%,2025-05-16
39537,ICICI Prudential Retirement Fund - Hybrid Aggressive PlanRetirement Solutions,3 yrs 11 m,₹27.49,0.66%,2025-05-16
16659,ICICI Prudential Bond FundMedium to Long Duration,8 yrs 11 m,₹42.77,0.11%,2025-05-16
26514,Nippon India Strategic Debt FundMedium Duration,-,₹16.72,0.09%,2025-05-16
16739,SBI Credit Risk FundCredit Risk,9 yrs,₹48.9,0.1%,2025-05-16
25380,HSBC Aggressive Hybrid Active FoFHybrid FoF,4 yrs 5 m,₹41.25,0.38%,2025-05-16
16988,Edelweiss Money Market FundMoney Market,9 yrs 11 m,₹31.11,0.05%,2025-05-16
15264,Aditya Birla Sun Life Equity Advantage FundLarge & MidCap,4 yrs 6 m,₹978.11,0.42%,2025-05-16
16006,DSP Strategic Bond FundDynamic Bond,8 yrs 11 m,"₹3,650.49",0.21%,2025-05-16
15398,Aditya Birla Sun Life Frontline Equity FundLarge Cap,4 yrs 3 m,₹575.59,0.1%,2025-05-16
16331,LIC MF Medium to Long Duration FundMedium to Long Duration,9 yrs 10 m,₹78.26,0.19%,2025-05-16
31020,Bandhan Corporate Bond FundCorporate Bond,-,₹19.76,0.13%,2025-05-16
15577,Franklin India Smaller Companies FundSmall Cap,2 yrs 9 m,₹191.24,1.3%,2025-05-16
16949,HSBC Medium to Long Duration FundMedium to Long Duration,10 yrs 4 m,₹47.32,0.17%,2025-05-16
17058,Tata Equity Savings FundEquity Savings,8 yrs 3 m,₹61.54,0.07%,2025-05-16
16280,Tata Midcap Growth FundMid Cap,2 yrs 10 m,₹467.15,0.27%,2025-05-16
39842,SBI Equity Minimum Variance FundThematic,4 yrs 5 m,₹24.32,0.06%,2025-05-16
16411,Franklin India Liquid FundLiquid,10 yrs 10 m,"₹3,932.95",0.02%,2025-05-18
15463,Aditya Birla Sun Life Government Securities FundGilt,8 yrs 9 m,₹88.73,0.16%,2025-05-16
15797,SBI Magnum Income FundMedium to Long Duration,8 yrs 9 m,₹76.61,0.11%,2025-05-16
16312,Kotak Bond FundMedium to Long Duration,9 yrs 1 m,₹86.59,0.15%,2025-05-16
16143,Sundaram Multi Cap FundMulti Cap,3 yrs 11 m,₹411.21,0.42%,2025-05-16
40525,Mirae Asset Midcap FundMid Cap,3 yrs 11 m,₹36.74,0.69%,2025-05-16
39227,DSP Overnight FundOvernight,-,"₹1,378.25",0.02%,2025-05-18
15571,HDFC Money Market FundMoney Market,10 yrs 3 m,"₹5,787.48",0.05%,2025-05-16
15409,Aditya Birla Sun Life Gold FundGold/ Precious Metals,4 yrs 1 m,₹28.28,0.5%,2025-05-16
15638,HDFC BSE Sensex Index FundLarge Cap Index,4 yrs 6 m,₹776.47,-0.18%,2025-05-16
15556,HDFC Value FundValue Oriented,3 yrs 11 m,₹806.78,0.19%,2025-05-16
15949,Kotak Small Cap FundSmall Cap,3 yrs 11 m,₹293.96,1.26%,2025-05-16
15489,Aditya Birla Sun Life Savings FundUltra Short Duration,9 yrs 10 m,₹553.48,0.04%,2025-05-16
15891,SBI Focused Equity FundFocused,4 yrs 3 m,₹382.58,0.18%,2025-05-16
16451,Franklin India Government Securities FundGilt,10 yrs 4 m,₹64.9,0.1%,2025-05-16
16110,JM Flexicap FundFlexi Cap,2 yrs 9 m,₹110.45,0.19%,2025-05-16
15477,Aditya Birla Sun Life Medium Term FundMedium Duration,7 yrs 11 m,₹43.09,0.13%,2025-05-16
16452,Aditya Birla Sun Life Asset Allocator FoFHybrid FoF,4 yrs 6 m,₹34.55,0.42%,2025-05-16
39702,Mahindra Manulife Large Cap FundLarge Cap,4 yrs 3 m,₹25.79,-0.05%,2025-05-16
25669,Invesco India - Invesco Global Equity Income FoFInternational,4 yrs 5 m,₹31.46,1.13%,2025-05-16
15412,UTI Large & Mid Cap FundLarge & MidCap,2 yrs 10 m,₹187.59,0.41%,2025-05-16
25388,HSBC Income Plus Arbitrage Active FoFOthers,10 yrs 4 m,₹22.63,0.09%,2025-05-16
15766,SBI Dynamic Bond FundDynamic Bond,8 yrs 9 m,₹39.42,0.21%,2025-05-16
15371,UTI Conservative Hybrid FundConservative Hybrid,8 yrs,₹74.86,0.19%,2025-05-16
21882,360 ONE Liquid FundLiquid,11 yrs 5 m,"₹2,007.77",0.03%,2025-05-18
15441,ICICI Prudential Multicap FundMulti Cap,2 yrs 10 m,₹871.43,0.45%,2025-05-16
17087,Tata Gilt Securities FundGilt,9 yrs 1 m,₹88.53,0.13%,2025-05-16
15685,HDFC Equity Savings FundEquity Savings,4 yrs 11 m,₹72.93,0.03%,2025-05-16
15653,Sundaram Large and Mid Cap FundLarge & MidCap,4 yrs,₹93.36,0.38%,2025-05-16
16180,HDFC Small Cap FundSmall Cap,2 yrs 10 m,₹150.35,1.04%,2025-05-16
15259,Aditya Birla Sun Life Equity Hybrid '95 FundAggressive Hybrid,4 yrs 6 m,"₹1,678.29",0.2%,2025-05-16
40681,Mahindra Manulife Overnight FundOvernight,-,"₹1,331.86",0.02%,2025-05-18
17390,ICICI Prudential Income Plus Arbitrage Active FoFOthers,5 yrs 1 m,₹66.49,0.05%,2025-05-16
23468,HSBC Asia Pacific (Ex Japan) Dividend Yield FundInternational,5 yrs 1 m,₹24.84,0.42%,2025-05-16
38061,Sundaram Services FundThematic,3 yrs 10 m,₹36.92,0.18%,2025-05-16
15257,Axis Midcap FundMid Cap,3 yrs 11 m,₹126.54,0.75%,2025-05-16
16370,Invesco India Mid Cap FundMid Cap,2 yrs 1 m,₹200.29,0.31%,2025-05-16
38866,Mirae Asset Equity Savings FundEquity Savings,4 yrs 11 m,₹21.35,0.13%,2025-05-16
15281,UTI Flexi Cap FundFlexi Cap,4 yrs 6 m,₹343.53,0.33%,2025-05-16
16693,Kotak Emerging Equity FundMid Cap,2 yrs 10 m,₹147.7,0.68%,2025-05-16
16330,Invesco India Gold ETF FoFGold/ Precious Metals,4 yrs 1 m,₹27.6,1.28%,2025-05-16
17107,Bandhan Arbitrage FundArbitrage,10 yrs 10 m,₹34.81,-0.03%,2025-05-16
16609,UTI Gilt FundGilt,8 yrs 10 m,₹65.95,0.17%,2025-05-16
16731,JM Medium to Long Duration FundMedium to Long Duration,12 yrs 1 m,₹69.59,0.07%,2025-05-16
37606,Union Equity Savings FundEquity Savings,-,₹17.28,0%,2025-05-16
37611,Mahindra Manulife Dynamic Bond FundDynamic Bond,-,₹15.5,0.14%,2025-05-16
35915,Mirae Asset Short Duration FundShort Duration,-,₹16.64,0.12%,2025-05-16
17415,Bandhan Asset Allocation ModerateHybrid FoF,5 yrs 1 m,₹42.57,0.12%,2025-05-16
16238,Invesco India Corporate Bond FundCorporate Bond,9 yrs 2 m,"₹3,403.65",0.16%,2025-05-16
16361,LIC MF BSE Sensex Index FundLarge Cap Index,4 yrs 6 m,₹164.45,-0.18%,2025-05-16
39772,Axis Overnight FundOvernight,-,"₹1,361.68",0.02%,2025-05-18
15681,HDFC Mid-Cap Opportunities FundMid Cap,2 yrs 9 m,₹205.2,0.73%,2025-05-16
